athlete_name,id,PR_seconds
"Glinski, Stephen",3265550,897.0900001525879
"Goetschel, Morgan",2860192,972.6800003051758
"Gourley, Neil",4629750,842.4000000953674
"Hernandez, Alejandro",3255086,928.6100006103516
"Joseph, Rodjnald",6443720,1136.0299987792969
"Kowalke, Calvin",8933395,1314.7000007629395
"Masterson, Trey",7885831,865.4599990844727
"McCartney, George",5495895,870.7000007629395
"McLawhorn, Charlie",8231297,937.5400009155273
"Nails, Hunter",6440635,901.5800000429153
"Nores, Max",7893753,847.2399997711182
"Perez-Garcia, Hasel",8979927,1367.939998626709
"Perrier, Felix",8241695,828.3300018310547
"Roberts, Wesley",4627625,910.960000038147
"Slapak, David",8257721,835.7799987792969
"Smith, Josse",5006168,1081.7799999713898
"Snyder, Holden",7732245,1007.0800018310547
"Trujillo, Fredy",4983260,1093.079999923706
"Turo, Nicholas",7757013,999.3699989318848
"Tyndell, Tyler",1756846,913.9799995422363
"Valerio, Marcos",7734006,897.8499984741211
"VanAppledorn, Ryan",6578700,1028.0
"Wagoner, Garrett",8582705,978.7099990844727
"Wenner, Frank",7917427,960.4699999988079
"Abraham, Trent",8623210,933.2900009155273
"Aronson, Nathaniel",8582669,905.6900000572205
"Bearden, Matthew",4512382,882.9700012207031
"Bennett, Jacob",7897762,945.4000015258789
"Benson, Chase",4986002,974.9099998474121
"Bertola, Joseph",8614396,879.2700004577637
"Campbell, Xian",8353573,898.0099983215332
"Cook, Jeff",4640410,1087.539999961853
"Craven, Jeremy",5122452,868.9699993133545
"Creekmore, J.R.",3730188,882.7900009155273
"Dandu, Ajay",7907046,957.7700004577637
"Duncan, Alec",3714783,933.810001373291
"Ernst, Jason",6157131,1092.3500003814697
"Gomez, Roy",7892633,910.7700004577637
"Gonzalez, Matthew",3799741,1007.0900001525879
"Henkel, Brendon",5985904,954.7099990844727
"Hull, Zane",8239629,949.9900016784668
"Jokisch, Colin",3715701,922.4599990844727
"Kaiser, Grant",5000230,924.2000007629395
"Kipkoech, Justine",8917978,813.8699989318848
"Kiprob, Aspel",7913850,842.4800000190735
"LaFontaine, Trevor",3658338,862.4400005340576
"McArdle, Donnie",7912322,955.7900009155273
"Medina, Emilio",6083622,920.5100002288818
"Mercoli, Sam",5485449,927.8700008392334
"Miller, Conner",6541722,926.9699993133545
"Nicoletti, Carson",7889461,880.560001373291
"Pena, Tristan",6874494,911.6999998092651
"Roth, Josh",6546618,890.4099998474121
"Ryan, Wolff",3252697,1005.4700012207031
"Sabatka, Jeffrey",4078540,897.3199996948242
"Salas, Jesus",6666239,934.3600006103516
"Smith, DiJon",4673249,909.329999923706
"Stoa III, Jay",8915625,1144.2199997901917
"Thompsen, Ryan",3303844,890.9900016784668
"Turner, Robert",5194724,970.0299997329712
"Vermillion, Christian",5484404,1035.0
"Audi, Matthew",7918614,915.3000001907349
"Bauers, Steve",6351507,912.3100004196167
"Chapman, Thomas",7898544,933.7599983215332
"Courts, Tim",6084799,955.5200004577637
"Dervin, Mitchell",7699158,860.2399997711182
"Fletcher, David",8232045,955.7700004577637
"Haynia, Maximus",8619582,870.670000076294
"Ives, Wilson",5959716,895.189998626709
"Johnston, Alexander",4676432,995.5299987792969
"Kleiner, Arin",6470690,1008.689998626709
"Zayer, Nasser",3692261,904.7399997711182
"Garzon, Isaih",7901368,1034.4499998092651
"Archer, Ryan",4519274,891.6800003051758
"Bishop, Jordan",5963312,1063.8800010681152
"Brown, Joseph",7386119,958.5
"Coffin, Luke",8233654,847.0300002098083
"Conn, John",6923987,976.2800006866455
"Curulewski, Jacob",8266439,871.2199993133545
"Dahl, Nick",7918519,852.7600002288818
"Dalton, David",5122453,917.9099998474121
"Dickson, George",2751804,909.6499996185303
"Ells, Sam",8230489,820.2900009155273
"Erber, Jonathan",3243613,1167.75
"Fisher, Dylan",2708914,1003.9500007629395
"Goodrick, Trevin",2124873,941.8400001525879
"Granados, Ayden",8594896,822.3199996948242
"Graves, Brandon",3434019,939.5699996948242
"Gross, Nolan",6585205,970.6400003433228
"Guillorel, Arse'ne",4996644,834.2200012207031
"Hammond, Jakob",8595053,973.4300003051758
"Hernandez, Bryan",8937740,997.3800010681152
"Jensen, Brennan",7885649,908.4099998474121
"Johnson, Matthew",3241248,959.5200004577637
"Keaney, James",7750575,929.8199996948242
"Kiplagat, Titus",6443234,897.7400016784668
"Kunkel, Cash",8335062,878.4700012207031
"Lauria, Joe",8259557,924.2800006866455
"Loebel, Cailan",7488342,973.539999961853
"Mancillas-Finnerty, Trestin",7724004,933.4599990844727
"McArdle, Nick",7926515,869.2999992370605
"McHale, Dave",2770662,977.2700004577637
"Murray, Andrew",5495421,1053.0800018310547
"Notgrass, Nathan",7720638,885.4099998474121
"Peterson, Kevin",2799084,897.75
"Rains, Jacob",6550877,1032.6899995803833
"Ray, Matthew",6876007,1014.3400001525879
"Ricketts, Daniel",3303839,937.7799987792969
"Sanchez-Pinto, Julien",6088639,864.670000076294
"Sandrock, Gary",7889677,913.7200002670288
"Schlender, Gunner",7741675,840.1500000059605
"Silas, Matthew",5654326,957.9099998474121
"Skinner, John",8969437,971.7399997711182
"Venne, Jeremie",5489553,973.25
"Widlansky , Ethan",6908882,870.7199993133545
"Williams, Jake",2653460,996.4000015258789
"Wisniewski, Jake",6933628,972.7200002670288
"Adams, Nathaniel",4515885,853.5600004196167
"Barrett, Ryan",4570485,973.6999998092651
"Baxter, Todd",7394534,988.2600002288818
"Beavers, Blake",5963562,921.1100006103516
"Braxton, Dajour",5638933,855.6999998092651
"Cascio, Justin",8270864,894.2099990844727
"Coyle, Thomas",4507550,857.75
"Deranek, Christian",5014844,942.4700012207031
"Forester, Jaden",8671417,841.5599999427795
"Freeman, Baron",7890597,960.4699999988079
"Gatewood, Mason",8250221,895.7700004577637
"Gearling, Hunter",8912996,965.9699997901917
"Gleason, Ty",5494135,924.9599990844727
"Hamm, Alec",2249733,931.5
"Kasper, James",4066486,942.1599998474121
"Kellar, Aaron",3174368,1058.7799987792969
"Keter, Benard",5639504,838.7999992370605
"Langridge, Joe",7918862,862.7399997711182
"McElroy, Matt",4078714,831.2999992370605
"Orndorff, William",2193237,951.3699989318848
"Peris, Manuel",7365175,860.8600006103516
"Pettigrew, Thorne",4050325,903.9300000667572
