,athlete_link,athlete_name,meet_date,rank,team_link,team_name,time,year
686,https://tf.tfrrs.org/athletes/5030200/East_Central/Caleb_Biles,"Biles, Caleb","Apr 20, 2017",29,https://tf.tfrrs.org/teams/tf/OK_college_m_East_Central.html,East Central,15:51.87,FR-1
687,https://tf.tfrrs.org/athletes/5500936/Southern_Arkansas/Bradyn_Gower,"Gower, Bradyn","Mar 10, 2017",30,https://tf.tfrrs.org/teams/tf/AR_college_m_Southern_Arkansas.html,Southern Arkansas,15:54.05,SO-2
688,https://tf.tfrrs.org/athletes/5103016/Harding/Jordan_Turney,"Turney, Jordan","Mar 25, 2017",31,https://tf.tfrrs.org/teams/tf/AR_college_m_Harding.html,Harding,15:58.03,SO-2
689,https://tf.tfrrs.org/athletes/4529443/Oklahoma_Christian/Evan__Durrill,"Durrill, Evan","Apr 7, 2017",32,https://tf.tfrrs.org/teams/tf/OK_college_m_Oklahoma_Christian.html,Oklahoma Christian,15:59.52,SR-4
690,https://tf.tfrrs.org/athletes/5496491/East_Central/Chris_McGowan,"McGowan, Chris","Apr 20, 2017",33,https://tf.tfrrs.org/teams/tf/OK_college_m_East_Central.html,East Central,16:04.75,SO-2
691,https://tf.tfrrs.org/athletes/4593521/East_Central/Noel__Figueroa,"Figueroa, Noel","Mar 24, 2017",34,https://tf.tfrrs.org/teams/tf/OK_college_m_East_Central.html,East Central,16:05.36,SR-4
692,https://tf.tfrrs.org/athletes/5970125/Rogers_State/Byrun_Ratliff,"Ratliff, Byrun","Apr 28, 2017",35,https://tf.tfrrs.org/teams/tf/OK_college_m_Rogers_State.html,Rogers State,16:06.65,FR-1
693,https://tf.tfrrs.org/athletes/5489548/Oklahoma_Baptist/Grant_Alexander,"Alexander, Grant","Mar 24, 2017",36,https://tf.tfrrs.org/teams/tf/OK_college_m_Oklahoma_Baptist.html,Oklahoma Baptist,16:07.72,SO-2
694,https://tf.tfrrs.org/athletes/5964003/Oklahoma_Baptist/DeAngelo_Robles,"Robles, DeAngelo","Mar 9, 2017",37,https://tf.tfrrs.org/teams/tf/OK_college_m_Oklahoma_Baptist.html,Oklahoma Baptist,16:13.22,FR-1
695,https://tf.tfrrs.org/athletes/5464346/Rogers_State/Daniel_Driskill,"Driskill, Daniel","Apr 28, 2017",38,https://tf.tfrrs.org/teams/tf/OK_college_m_Rogers_State.html,Rogers State,16:15.09,SR-4
696,https://tf.tfrrs.org/athletes/5984367/Southern_Arkansas/Harrison_Watson,"Watson, Harrison","Mar 10, 2017",39,https://tf.tfrrs.org/teams/tf/AR_college_m_Southern_Arkansas.html,Southern Arkansas,16:15.18,FR-1
697,https://tf.tfrrs.org/athletes/5501031/Southern_Arkansas/Nathan_Poovey,"Poovey, Nathan","Mar 17, 2017",40,https://tf.tfrrs.org/teams/tf/AR_college_m_Southern_Arkansas.html,Southern Arkansas,16:18.20,SO-2
698,https://tf.tfrrs.org/athletes/5459132/Oklahoma_Christian/Jake_Weith,"Weith, Jake","Apr 7, 2017",41,https://tf.tfrrs.org/teams/tf/OK_college_m_Oklahoma_Christian.html,Oklahoma Christian,16:20.52,SO-2
699,https://tf.tfrrs.org/athletes/5464345/Rogers_State/Cruzito_Chavez,"Chavez, Cruzito","Apr 28, 2017",42,https://tf.tfrrs.org/teams/tf/OK_college_m_Rogers_State.html,Rogers State,16:21.96,SO-2
700,https://tf.tfrrs.org/athletes/5979075/East_Central/CAMERON_CORBIN,"CORBIN, CAMERON","Mar 9, 2017",43,https://tf.tfrrs.org/teams/tf/OK_college_m_East_Central.html,East Central,16:24.47,FR-1
701,https://tf.tfrrs.org/athletes/5979076/East_Central/TOMMY_GREBE,"GREBE, TOMMY","Apr 20, 2017",44,https://tf.tfrrs.org/teams/tf/OK_college_m_East_Central.html,East Central,16:24.91,FR-1
702,https://tf.tfrrs.org/athletes/5964004/Oklahoma_Baptist/Garrett_Elmore,"Elmore, Garrett","Mar 9, 2017",45,https://tf.tfrrs.org/teams/tf/OK_college_m_Oklahoma_Baptist.html,Oklahoma Baptist,16:28.01,FR-1
703,https://tf.tfrrs.org/athletes/6082280/Harding/Keneth_Chelelgo,"Chelelgo, Keneth","Mar 17, 2017",46,https://tf.tfrrs.org/teams/tf/AR_college_m_Harding.html,Harding,16:37.20,FR-1
704,https://tf.tfrrs.org/athletes/5970133/Rogers_State/Justin_Noble,"Noble, Justin","Mar 24, 2017",47,https://tf.tfrrs.org/teams/tf/OK_college_m_Rogers_State.html,Rogers State,16:54.71,FR-1
705,https://tf.tfrrs.org/athletes/5489549/Oklahoma_Baptist/Nathan_Crowson,"Crowson, Nathan","Mar 9, 2017",48,https://tf.tfrrs.org/teams/tf/OK_college_m_Oklahoma_Baptist.html,Oklahoma Baptist,17:02.06,SO-2
706,https://tf.tfrrs.org/athletes/5496490/East_Central/Kevin__Matthews,"Matthews, Kevin","Mar 9, 2017",49,https://tf.tfrrs.org/teams/tf/OK_college_m_East_Central.html,East Central,17:23.73,JR-3
707,https://tf.tfrrs.org/athletes/4183056/St_Scholastica/Chris_Lawson,"Lawson, Chris","Apr 18, 2015",1,https://tf.tfrrs.org/teams/tf/MN_college_m_St_Scholastica.html,St. Scholastica,15:10.23,JR-3
708,https://tf.tfrrs.org/athletes/4519766/Bethany_Lutheran/Owen_Richardson,"Richardson, Owen","May 8, 2015",2,https://tf.tfrrs.org/teams/tf/MN_college_m_Bethany_Lutheran.html,Bethany Lutheran,15:39.76,SO-2
709,https://tf.tfrrs.org/athletes/4403208/Martin_Luther/Grey_Davis,"Davis, Grey","Apr 23, 2015",3,https://tf.tfrrs.org/teams/tf/MN_college_m_Martin_Luther.html,Martin Luther,16:06.28,JR-3
710,https://tf.tfrrs.org/athletes/4639260/St_Scholastica/Jacob__Gallagher,"Gallagher, Jacob","May 8, 2015",4,https://tf.tfrrs.org/teams/tf/MN_college_m_St_Scholastica.html,St. Scholastica,16:12.76,SO-2
711,https://tf.tfrrs.org/athletes/4519767/Bethany_Lutheran/Ethan_Schwartz,"Schwartz, Ethan","May 8, 2015",5,https://tf.tfrrs.org/teams/tf/MN_college_m_Bethany_Lutheran.html,Bethany Lutheran,16:33.42,SO-2
712,https://tf.tfrrs.org/athletes/5323567/Martin_Luther/Justin_Wilkens,"Wilkens, Justin","Apr 11, 2015",6,https://tf.tfrrs.org/teams/tf/MN_college_m_Martin_Luther.html,Martin Luther,16:41.03,FR-1
713,https://tf.tfrrs.org/athletes/4639271/St_Scholastica/Adam_Wallenta,"Wallenta, Adam","Apr 25, 2015",7,https://tf.tfrrs.org/teams/tf/MN_college_m_St_Scholastica.html,St. Scholastica,16:42.20,SO-2
714,https://tf.tfrrs.org/athletes/3817464/North_Central_MN/Jake_Guttormson,"Guttormson, Jake","Apr 23, 2015",8,https://tf.tfrrs.org/teams/tf/MN_college_m_North_Central_MN.html,North Central (Minn.),16:53.35,JR-3
715,https://tf.tfrrs.org/athletes/5323569/Martin_Luther/Jonathon_Fleischmann,"Fleischmann, Jonathon","May 1, 2015",9,https://tf.tfrrs.org/teams/tf/MN_college_m_Martin_Luther.html,Martin Luther,17:09.90,FR-1
716,https://tf.tfrrs.org/athletes/4984751/Northwestern_MN/Kyle_Granger,"Granger, Kyle","Apr 23, 2015",10,https://tf.tfrrs.org/teams/tf/MN_college_m_Northwestern_MN.html,U of Northwestern Saint Paul,17:13.33,FR-1
717,https://tf.tfrrs.org/athletes/5014447/Minnesota_Morris/Daniel_Stelljes,"Stelljes, Daniel","Apr 18, 2015",11,https://tf.tfrrs.org/teams/tf/MN_college_m_Minnesota_Morris.html,Minnesota-Morris,17:16.66,JR-3
718,https://tf.tfrrs.org/athletes/4984754/Northwestern_MN/Jackson_Peterson,"Peterson, Jackson","May 8, 2015",12,https://tf.tfrrs.org/teams/tf/MN_college_m_Northwestern_MN.html,U of Northwestern Saint Paul,17:21.33,FR-1
719,https://tf.tfrrs.org/athletes/4519770/Bethany_Lutheran/Lucas_Malimanek,"Malimanek, Lucas","May 8, 2015",13,https://tf.tfrrs.org/teams/tf/MN_college_m_Bethany_Lutheran.html,Bethany Lutheran,17:22.12,SO-2
720,https://tf.tfrrs.org/athletes/4660778/Northwestern_MN/Nick_Lubben,"Lubben, Nick","May 8, 2015",14,https://tf.tfrrs.org/teams/tf/MN_college_m_Northwestern_MN.html,U of Northwestern Saint Paul,17:25.44,SO-2
721,https://tf.tfrrs.org/athletes/4984748/Northwestern_MN/Steve_Baridon,"Baridon, Steve","May 8, 2015",15,https://tf.tfrrs.org/teams/tf/MN_college_m_Northwestern_MN.html,U of Northwestern Saint Paul,17:33.34,FR-1
722,https://tf.tfrrs.org/athletes/5014444/Minnesota_Morris/Gabriel_Davila,"Davila, Gabriel","Apr 25, 2015",16,https://tf.tfrrs.org/teams/tf/MN_college_m_Minnesota_Morris.html,Minnesota-Morris,17:38.54,FR-1
723,https://tf.tfrrs.org/athletes/3780100/Minnesota_Morris/Daniel_Tiernan,"Tiernan, Daniel","Apr 11, 2015",17,https://tf.tfrrs.org/teams/tf/MN_college_m_Minnesota_Morris.html,Minnesota-Morris,17:43.55,JR-3
724,https://tf.tfrrs.org/athletes/4692061/Minnesota_Morris/Bailey_Denzer,"Denzer, Bailey","Apr 11, 2015",18,https://tf.tfrrs.org/teams/tf/MN_college_m_Minnesota_Morris.html,Minnesota-Morris,18:06.09,JR-3
725,https://tf.tfrrs.org/athletes/3780099/Minnesota_Morris/Declan_McCrory,"McCrory, Declan","Apr 11, 2015",19,https://tf.tfrrs.org/teams/tf/MN_college_m_Minnesota_Morris.html,Minnesota-Morris,18:11.44,SR-4
726,https://tf.tfrrs.org/athletes/5014446/Minnesota_Morris/Schuyler_Moore,"Moore, Schuyler","Apr 25, 2015",20,https://tf.tfrrs.org/teams/tf/MN_college_m_Minnesota_Morris.html,Minnesota-Morris,18:39.82,FR-1
727,https://tf.tfrrs.org/athletes/5116206/St_Scholastica/Victor_Pilon,"Pilon, Victor","Apr 11, 2015",21,https://tf.tfrrs.org/teams/tf/MN_college_m_St_Scholastica.html,St. Scholastica,19:01.10,SO-2
728,https://tf.tfrrs.org/athletes/4997469/Bethany_Lutheran/David_Luehring,"Luehring, David","May 1, 2015",22,https://tf.tfrrs.org/teams/tf/MN_college_m_Bethany_Lutheran.html,Bethany Lutheran,19:25.14,FR-1
